w_xgb,w_lstm,w_cnn,k,a,n_total,trades_yr,active_folds,min_fold_n,winrate,avg_ret,avg_ret_win,mean_fold_ret,worst_fold_ret,pos_folds,ret_ex2020,pct_2020
0.46,0.28,0.26,30.0,0.95,1365.0,170.625,8.0,59.0,60.51282,9.95456,22.40724,6.24911,-1.52393,7.0,3.494,28.79121
0.56,0.16,0.28,30.0,0.95,1510.0,188.75,8.0,66.0,60.33113,9.55623,22.08931,6.79393,-0.96577,7.0,3.88262,27.21854
