fold,Rand,XGB,LSTM,CNN,ENS
2018,12.6257,10.952,11.5386,9.7065,10.2545
2019,10.3877,8.7251,6.9356,11.7636,9.1343
2020,15.666,16.1508,14.7928,14.9022,15.3432
2021,8.8311,9.2278,7.3593,10.0792,9.8935
2022,9.1199,11.1649,8.6399,9.931,10.9593
2023,10.4138,8.9185,7.7919,9.3473,8.7291
2024,11.6701,12.2437,9.4548,10.6895,11.1492
2025,13.5871,13.416,11.9292,10.9908,12.6207
MEAN,11.5377,11.3499,9.8053,10.9263,11.0105
