fold,Rand,XGB,LSTM,CNN,ENS
2018,28.793,32.353,31.029,27.745,30.98
2019,29.064,29.758,31.546,33.188,32.512
2020,47.035,53.462,51.154,49.231,54.519
2021,32.271,34.667,37.048,33.048,34.19
2022,28.654,32.837,32.163,29.904,32.26
2023,31.121,36.683,34.341,31.561,36.098
2024,23.269,23.941,21.429,22.562,24.483
2025,33.795,36.029,35.49,35.931,37.402
MEAN,31.75,34.966,34.275,32.896,35.306
