fold,Rand,XGB,LSTM,CNN,ENS
2018,12.6257,11.1258,9.7186,11.354,10.0526
2019,10.3877,8.9117,8.7981,9.5819,8.7784
2020,15.666,15.0242,14.4304,16.6798,15.1773
2021,8.8311,9.2381,6.6889,8.8189,8.5724
2022,9.1199,11.39,7.9975,10.823,10.4511
2023,10.4138,10.2228,8.2087,10.4985,9.8708
2024,11.6701,12.4646,8.177,11.401,9.5106
2025,13.5871,12.1309,11.5913,13.2921,11.0239
MEAN,11.5377,11.3135,9.4513,11.5561,10.4296
