test_year,w_xgb,w_lstm,w_cnn,k,a,n,win%,avg_ret%,base%,rand_ret%,past_avg%
2019,0.1,0.4,0.5,10,0.95,257,41.6,0.33,28.7,-2.36,6.9
2020,0.5,0.0,0.5,20,0.95,565,61.1,14.95,46.0,2.45,4.83
2021,0.24,0.06,0.7,30,0.95,35,45.7,0.22,32.5,-1.6,16.99
2022,0.36,0.06,0.58,30,0.95,885,56.6,2.67,28.0,-2.84,15.64
2023,0.18,0.06,0.76,30,0.95,205,42.9,-0.1,30.7,-2.13,9.09
2024,0.14,0.06,0.8,30,0.95,1391,30.2,-2.12,23.0,-3.78,7.91
2025,0.18,0.0,0.82,30,0.95,265,57.0,3.55,32.7,-0.79,3.47
