test_year,w_xgb,w_lstm,w_cnn,k,a,n,win%,avg_ret%,base%,rand_ret%,past_avg%
2019,0.18,0.58,0.24,10,0.95,83,50.6,-0.17,28.7,-2.36,4.16
2020,0.44,0.52,0.04,20,0.95,194,72.7,27.41,46.0,2.45,5.59
2021,0.2,0.12,0.68,30,0.95,33,36.4,-0.35,32.5,-1.6,18.89
2022,0.26,0.14,0.6,30,0.95,106,66.0,6.01,28.0,-2.84,16.41
2023,0.22,0.14,0.64,30,0.95,164,48.8,0.66,30.7,-2.13,14.4
2024,0.18,0.08,0.74,30,0.95,398,36.4,-1.05,23.0,-3.78,11.84
2025,0.16,0.06,0.78,30,0.95,0,,,32.7,-0.79,8.42
