fold,days,base%,XGB,LSTM,CNN,ENS,trades
2018,204,27.6,31.5,32.7,30.0,34.1,2040
2019,207,28.7,31.5,31.5,28.3,30.8,2070
2020,208,46.0,54.3,53.7,50.1,54.1,2080
2021,210,32.5,35.8,34.9,34.3,36.2,2100
2022,208,28.0,32.5,31.1,34.8,34.1,2080
2023,205,30.7,32.0,31.1,34.5,32.2,2050
2024,203,23.0,23.9,22.5,24.1,23.8,2030
2025,204,32.7,34.5,37.8,35.8,39.2,2040
MEAN,,31.2,34.5,34.4,34.0,35.6,16490
