metric,best_value,w_xgb,w_lstm,w_cnn,AUC@best,Accuracy@best,Precision@best,Recall@best,F1@best
AUC,0.559319,0.78,0.07,0.15,0.559319,0.68527,0.478286,0.063533,0.112166
Accuracy,0.688033,0.99,0.0,0.01,0.552025,0.688033,0.519736,0.040334,0.074859
Precision,0.519736,0.99,0.0,0.01,0.552025,0.688033,0.519736,0.040334,0.074859
Recall,0.482671,0.0,0.54,0.46,0.545606,0.553761,0.346904,0.482671,0.403678
F1,0.403739,0.0,0.52,0.48,0.54589,0.554004,0.347067,0.482531,0.403739
