band,by,k,a,w_xgb,w_lstm,w_cnn,trades_yr,min_fold_n,winrate,avg_ret,ret_ex2020,worst_fold_ret,pos_folds,pct_2020
100-250,avg_ret,20.0,0.65,0.07,0.44,0.49,248.5,31.0,41.34809,2.69436,-1.60234,-3.73475,3.0,19.21529
100-250,ret_ex2020,10.0,0.6,0.18,0.41,0.41,249.875,30.0,44.32216,2.44885,-0.42734,-3.50898,4.0,16.4082
250-500,avg_ret,30.0,0.65,0.29,0.19,0.52,426.75,31.0,46.6901,4.42407,-0.30531,-5.89224,3.0,25.4833
250-500,ret_ex2020,30.0,0.55,0.33,0.33,0.34,498.5,30.0,46.8656,3.73795,-0.07366,-3.31094,6.0,19.08225
500-1500,avg_ret,30.0,0.65,0.37,0.1,0.53,506.0,32.0,47.45553,4.11916,-0.12362,-5.32264,3.0,25.07411
500-1500,ret_ex2020,30.0,0.6,0.48,0.07,0.45,613.625,30.0,47.28051,3.52867,-0.01455,-6.74365,4.0,22.26523
1500-∞,avg_ret,30.0,0.5,0.59,0.09,0.32,1518.75,190.0,41.893,1.18645,-0.62575,-2.83258,4.0,15.57202
1500-∞,ret_ex2020,30.0,0.5,0.59,0.09,0.32,1518.75,190.0,41.893,1.18645,-0.62575,-2.83258,4.0,15.57202
