test_year,winrate,trades,base_rate
2018,0.309804,2040,0.275658
2019,0.325121,2070,0.286998
2020,0.545192,2080,0.460406
2021,0.341905,2100,0.32524
2022,0.322596,2080,0.279944
2023,0.360976,2050,0.306665
2024,0.244828,2030,0.229745
2025,0.37402,2040,0.326971
