test_year,w_xgb,w_lstm,w_cnn,k,a,n,win%,avg_ret%,base%,rand_ret%,past_avg%
2019,0.52,0.24,0.24,10,0.5,285,50.2,0.16,28.7,-2.36,7.11
2020,0.36,0.42,0.22,30,0.5,555,68.8,22.96,46.0,2.45,5.49
2021,0.22,0.6,0.18,30,0.5,1,100.0,0.81,32.5,-1.6,24.21
2022,0.3,0.22,0.48,30,0.65,64,67.2,7.07,28.0,-2.84,18.03
2023,0.3,0.22,0.48,30,0.65,183,56.3,1.55,30.7,-2.13,17.11
2024,0.3,0.22,0.48,30,0.65,555,35.3,-2.06,23.0,-3.78,14.1
2025,0.36,0.16,0.48,30,0.65,1,0.0,-4.09,32.7,-0.79,8.84
