test_year,n,p_xgb,p_lstm,p_cnn,p_avg,p_avg_rank
2018,17587,0.555603,0.535286,0.520376,0.526343,0.549342
2019,17359,0.572916,0.544885,0.532773,0.557613,0.568688
2020,25269,0.58877,0.573342,0.568221,0.593957,0.607975
2021,30931,0.562005,0.535025,0.521964,0.535555,0.553678
2022,26466,0.649825,0.60263,0.538316,0.588029,0.631023
2023,32110,0.566116,0.547746,0.509607,0.53712,0.556165
2024,27783,0.542468,0.516868,0.516725,0.522074,0.530842
2025,28660,0.570914,0.550477,0.543693,0.569698,0.576734
