w_xgb,w_lstm,w_cnn,k,a,n_total,trades_yr,active_folds,min_fold_n,winrate,avg_ret,avg_ret_win,mean_fold_ret,worst_fold_ret,pos_folds,ret_ex2020,pct_2020
0.44,0.06,0.5,30.0,0.65,3212.0,401.5,8.0,32.0,47.57161,4.20029,18.42799,4.61832,-1.89861,6.0,0.69536,16.31382
0.6,0.06,0.34,30.0,0.55,5111.0,638.875,8.0,30.0,48.22931,3.59187,16.42856,5.06395,-1.85844,7.0,1.06831,13.36333
