AUC,ACC@0.50,Prec@0.50,Rec@0.50,F1@0.50,ACC@0.60,Prec@0.60,Rec@0.60,F1@0.60,ACC@0.65,Prec@0.65,Rec@0.65,F1@0.65,test_year,n,w_xgb,w_lstm,w_cnn
0.5200118233600121,0.5834712630557617,0.2979980308500164,0.37551695616211744,0.3322964318389753,0.6201700816163461,0.2990055248618785,0.27977667493796526,0.2890716803760282,0.638091433137378,0.30212989744938207,0.23759305210918114,0.2660030096075935,2018,17521,0.0,0.0,1.0
0.520344460300212,0.5856400890360139,0.2995368838901753,0.37448304383788256,0.332843227347914,0.6247931054163575,0.2991215903837263,0.2675765095119934,0.2824710761842392,0.6472233320015981,0.30878589707136767,0.22456575682382135,0.26002633784269125,2018,17521,0.0,0.1,0.9
0.5208874089448046,0.5864962045545346,0.2992834527578737,0.37138130686517784,0.331457045307742,0.6329547400262542,0.30284301606922126,0.25330851943755167,0.2758698344780993,0.6562410821300154,0.31188589540412043,0.20347394540942929,0.24627706169440622,2018,17521,0.0,0.2,0.8
0.5215646154041771,0.5882655099594772,0.29929101958136395,0.36662531017369726,0.32955390334572493,0.6416871183151647,0.3064949006977992,0.23614557485525228,0.26676010277972434,0.6664573939843617,0.31319495922905854,0.17473118279569894,0.22431643217414388,2018,17521,0.0,0.3,0.7
0.5223813287089699,0.5910621539866446,0.30008583690987123,0.36145574855252277,0.3279242097364225,0.6530449175275383,0.31263189629182997,0.21443341604631927,0.2543848889979149,0.6769590776782147,0.31306715063520874,0.14267990074441686,0.19602272727272727,2018,17521,0.0,0.4,0.6
0.5231516321062013,0.5951715084755437,0.30329440474115393,0.3598014888337469,0.3291402629338882,0.6636036755892929,0.31160968660968663,0.18093465674110834,0.22893772893772893,0.6921408595399806,0.3267080745341615,0.10876757650951199,0.163201985727583,2018,17521,0.0,0.5,0.5
0.5235801779649606,0.5964842189372753,0.3015985790408526,0.3511166253101737,0.32447926619529904,0.6772444495177216,0.32063074901445465,0.1513647642679901,0.20564686051411715,0.7069801951943382,0.3599624060150376,0.07919768403639371,0.12983050847457628,2018,17521,0.0,0.6,0.4
0.5234366772918784,0.5996233091718509,0.30180098235401126,0.34305210918114143,0.32110713248814476,0.689458364248616,0.3316638842515303,0.12324234904880066,0.17970752299110507,0.7077221619770561,0.33676975945017185,0.060794044665012405,0.10299527062532843,2018,17521,0.0,0.7,0.3
0.5227387518326778,0.6070429769990298,0.3036227717078781,0.32754342431761785,0.315129811996419,0.685976827806632,0.3063953488372093,0.10897435897435898,0.16076876143990237,0.7053821128930997,0.3247311827956989,0.062448304383788254,0.10475199445022546,2018,17521,0.0,0.8,0.2
0.5209068238376413,0.6108098852805205,0.3018981018981019,0.31244830438378823,0.30708261355553296,0.6820386964214371,0.30294906166219837,0.11683209263854426,0.16863154753021936,0.6964785115004851,0.28970331588132636,0.06865177832919768,0.11099966566365764,2018,17521,0.0,0.9,0.1
0.517789250115658,0.6009930940014839,0.2928283022495674,0.31492969396195203,0.3034771346019727,0.6748473260658638,0.29312830370014414,0.1261373035566584,0.17637704207026167,0.6903144797671366,0.2892857142857143,0.0837468982630273,0.12989095574085952,2018,17521,0.0,1.0,0.0
0.5209467295115826,0.5905484846755322,0.29782082324455206,0.3560794044665012,0.32435486909022415,0.6303293191027909,0.298847756803138,0.25206782464846983,0.2734716769489624,0.6533302893670453,0.3102391171060699,0.20926385442514475,0.24993825635959496,2018,17521,0.1,0.0,0.9
0.5214199573361398,0.5932309799668969,0.29857569896254615,0.3511166253101737,0.32272165732205643,0.6404885565892358,0.3069411454209554,0.24048800661703887,0.26968115942028986,0.6626904857028708,0.3128919860627178,0.18569065343258892,0.2330651440436024,2018,17521,0.1,0.1,0.8
0.5221466139024978,0.598424747445922,0.3023005032350827,0.347808105872622,0.32346153846153847,0.650248273500371,0.31100058513750733,0.21980976013234077,0.2575720862612067,0.672735574453513,0.314616019818332,0.1575682382133995,0.2099751997795536,2018,17521,0.1,0.2,0.7
0.5230966313938328,0.6019633582558073,0.30284028033935817,0.33953680727874275,0.3201403782413726,0.6620055932880543,0.3149284253578732,0.19106699751861042,0.23783783783783785,0.6854631584955196,0.3209549071618037,0.12510339123242348,0.18003273322422259,2018,17521,0.1,0.3,0.6
0.5241142423806734,0.6084127618286628,0.3066641206797785,0.3320926385442515,0.3188722327012807,0.6745048798584555,0.3162356930902925,0.15425971877584782,0.20736622654621265,0.7015581302437075,0.3419147224456959,0.08788254755996691,0.13982562921533148,2018,17521,0.1,0.4,0.5
0.5250048333465374,0.6136065293076879,0.3066,0.31699751861042186,0.31171207808052054,0.6902003310313338,0.3304696449026346,0.11931348221670803,0.1753266484351261,0.7138861937104046,0.3775933609958506,0.056451612903225805,0.09821910415542363,2018,17521,0.1,0.5,0.4
0.5253045334345321,0.6198276354089378,0.30663276117821575,0.2992142266335815,0.30287807430664576,0.7028137663375378,0.3507642799678198,0.09015715467328371,0.14344464550090474,0.7166257633696707,0.3812154696132597,0.042803970223325064,0.0769659788064696,2018,17521,0.1,0.6,0.3
0.5249508922210996,0.6298156497916786,0.30999539382772917,0.2783291976840364,0.2933100893440837,0.6993893042634552,0.31996658312447784,0.07919768403639371,0.12696834079230895,0.7165686890017693,0.3745173745173745,0.040115798180314306,0.07246918192005977,2018,17521,0.1,0.7,0.2
0.5233467591148113,0.6338108555447748,0.307504873294347,0.26095947063689,0.28232662192393737,0.6916842645967696,0.29669540229885055,0.08540115798180314,0.13262684649967887,0.7104617316363221,0.32801161103047893,0.0467328370554177,0.08180995475113122,2018,17521,0.1,0.8,0.1
0.5201583723831871,0.6257062953027795,0.30106284658040666,0.26943755169561623,0.2843736359668267,0.6845499686090977,0.288426209430496,0.09739454094292804,0.14561756067398363,0.701615204611609,0.2954070981210856,0.05851943755169561,0.09768726268553676,2018,17521,0.1,0.9,0.0
0.5220780423267486,0.6012784658409908,0.300334323922734,0.33436724565756826,0.31643835616438354,0.6473945551053022,0.3082857142857143,0.22311827956989247,0.2588771593090211,0.667427658238685,0.3123816736084816,0.1705955334987593,0.22067674200882706,2018,17521,0.2,0.0,0.8
0.5227713871101413,0.6064151589521146,0.3022273425499232,0.3254755996691481,0.31342094782955,0.6582957593744649,0.31417500807232807,0.2011993382961125,0.2453044245556536,0.6792420523942697,0.3168224299065421,0.1401985111662531,0.19438073394495411,2018,17521,0.2,0.1,0.7
0.5237666815660891,0.6118942982706467,0.30461599681655394,0.3165839536807279,0.31048468870411683,0.6688545174362194,0.3138010794140324,0.16832092638544252,0.21911170928667564,0.6927686775868958,0.32656943563728597,0.10649296939619521,0.16061125838141274,2018,17521,0.2,0.2,0.6
0.5250200506449949,0.6205125278237543,0.308472427635749,0.30190239867659224,0.3051520535061135,0.6837509274584784,0.3224181360201511,0.13234077750206782,0.18765576894883448,0.7085212031276754,0.3479236812570146,0.0641025641025641,0.10825912345032303,2018,17521,0.2,0.3,0.5
0.5263592462652821,0.628674162433651,0.31065759637188206,0.28329197684036395,0.2963443651308674,0.703898179327664,0.35829307568438,0.09201819685690653,0.14642974662718,0.7190228868215285,0.4043956043956044,0.0380479735318445,0.06955206955206955,2018,17521,0.2,0.4,0.4
0.5272097685438308,0.6400319616460247,0.31194068013295834,0.2522746071133168,0.27895278381159255,0.7132013012955881,0.3805309734513274,0.06224152191894127,0.10698418340145725,0.7219336795844986,0.44039735099337746,0.02750206782464847,0.051771117166212535,2018,17521,0.2,0.5,0.3
0.5272984233672499,0.6499058272929628,0.31133720930232556,0.22146401985111663,0.25882068632189464,0.7133725243992923,0.36560693641618497,0.05231596360628619,0.09153400868306802,0.7235317618857371,0.484375,0.02564102564102564,0.04870384917517675,2018,17521,0.2,0.6,0.2
0.5260587718637613,0.6544147023571714,0.3117083719493358,0.2086435070306038,0.24996903257772823,0.7064094515153244,0.319672131147541,0.056451612903225805,0.09595782073813708,0.7206780434906683,0.40705128205128205,0.026261373035566585,0.049339549339549336,2018,17521,0.2,0.7,0.1
0.5228326719880751,0.6499058272929628,0.3124277456647399,0.22353184449958644,0.26060752169720347,0.6970492551794989,0.2982905982905983,0.07216708023159636,0.11621711621711622,0.7119456652017578,0.30783242258652094,0.03494623655913978,0.0627669452181987,2018,17521,0.2,0.8,0.0
0.523497807307107,0.6145767935620113,0.30322315746253337,0.3054177005789909,0.3043164726486041,0.6649734604189259,0.3152251608291637,0.18238213399503722,0.23107152213780455,0.6852919353918155,0.3198724760892667,0.12448304383788254,0.17922000595415302,2018,17521,0.3,0.0,0.7
0.5245084250202054,0.6208549740311626,0.30447954988097814,0.29094292803970223,0.2975573649148779,0.6769590776782147,0.3168888888888889,0.14743589743589744,0.20124188540784646,0.6977912219622168,0.3205629397967162,0.0847808105872622,0.13409648405560098,2018,17521,0.3,0.1,0.6
0.52587384949236,0.6304434678385937,0.30731248530449096,0.27026468155500416,0.28760039608317745,0.6931681981622053,0.3316708229426434,0.11000827129859388,0.16521739130434782,0.7153701272758404,0.37437603993344426,0.04652605459057072,0.08276623137759793,2018,17521,0.3,0.2,0.5
0.5275749511041385,0.6436847211917128,0.31452675982072237,0.2466914805624483,0.2765094448951211,0.7122310370412648,0.37767220902612825,0.06575682382133995,0.11201127157449806,0.7230180925746247,0.467680608365019,0.02543424317617866,0.04824475387330849,2018,17521,0.3,0.3,0.4
0.5291323319747799,0.659665544204098,0.32116788321167883,0.20926385442514475,0.25341179416551896,0.719707779236345,0.4233128834355828,0.042803970223325064,0.07774647887323943,0.7253010672906798,0.5877862595419847,0.015922249793217536,0.03100463056170727,2018,17521,0.3,0.4,0.3
0.5298359547513998,0.6760458877917928,0.3335974643423138,0.174110835401158,0.22880434782608697,0.7222190514240054,0.4565826330532213,0.0337055417700579,0.06277681494319276,0.7244449517721592,0.5465116279069767,0.009718775847808106,0.01909792767167818,2018,17521,0.3,0.5,0.2
0.5291517468676166,0.6794132754979738,0.3389690721649484,0.16997518610421836,0.22641509433962265,0.7196507048684436,0.40594059405940597,0.03391232423490488,0.06259541984732825,0.7243308030363563,0.5416666666666666,0.008064516129032258,0.01589242053789731,2018,17521,0.3,0.6,0.1
0.5258239429479273,0.6699389304263456,0.31920580374188623,0.1728701406120761,0.22427900737759893,0.7090919468066891,0.3060921248142645,0.04259718775847808,0.07478671265202395,0.7221619770561041,0.39473684210526316,0.01240694789081886,0.024057738572574178,2018,17521,0.3,0.7,0.0
0.5253422710305999,0.6289024599052565,0.30363036303630364,0.2663358147229115,0.283762943379599,0.6838080018263798,0.32113821138211385,0.130686517783292,0.18577307466196355,0.7040694024313681,0.324269889224572,0.06658395368072788,0.1104820723966375,2018,17521,0.4,0.0,0.6
0.5267663395640305,0.6423149363620798,0.31116389548693585,0.24379652605459057,0.2733913043478261,0.7009873865646938,0.33892885691446845,0.08767576509511993,0.13931329061935271,0.7201072998116546,0.40058479532163743,0.028329197684036394,0.052916183854770184,2018,17521,0.4,0.1,0.5
0.5286939727109091,0.6581816106386622,0.320236981602744,0.21236559139784947,0.25537734676115875,0.7183950687746133,0.40789473684210525,0.04487179487179487,0.080849478390462,0.7249015467153701,0.5754716981132075,0.012613730355665839,0.024686361796843383,2018,17521,0.4,0.2,0.4
0.53097105762751,0.6775298213572285,0.33112033195020746,0.16501240694789082,0.22025945349158157,0.7242166543005536,0.5076335877862596,0.02750206782464847,0.05217732444095724,0.7249586210832715,0.7575757575757576,0.005169561621174525,0.010269049086054631,2018,17521,0.4,0.3,0.3
0.5325514885892269,0.6979053706980195,0.3624322697170379,0.12448304383788254,0.1853162998306911,0.725643513498088,0.6,0.017990074441687345,0.03493274442882955,0.7243878774042577,0.7333333333333333,0.002274607113316791,0.0045351473922902496,2018,17521,0.4,0.4,0.2
0.5326014032843283,0.6939101649449232,0.34097767048883526,0.11683209263854426,0.17403357461882027,0.7237029849894412,0.4766355140186916,0.01054590570719603,0.02063524175601861,0.7241025055647509,0.5714285714285714,0.0016542597187758478,0.0032989690721649486,2018,17521,0.4,0.5,0.1
0.5292875125561052,0.6853490097597169,0.32156035846072745,0.1261373035566584,0.18119708896480025,0.7207351178585697,0.3686635944700461,0.016542597187758478,0.03166435780724322,0.7241025055647509,0.5625,0.0018610421836228288,0.003709810387469085,2018,17521,0.4,0.6,0.0
0.527761723677334,0.6535585868386508,0.3163690476190476,0.21980976013234077,0.25939482674475356,0.7074938645054506,0.34033149171270716,0.06368899917287014,0.10729838007315799,0.723817133725244,0.49206349206349204,0.019230769230769232,0.037014925373134326,2018,17521,0.5,0.0,0.5
0.5298410652206729,0.6685691455967125,0.3176868193766429,0.17493796526054592,0.2256300840112015,0.722447348895611,0.4536082474226804,0.02729528535980149,0.051492100643651256,0.7249015467153701,0.6379310344827587,0.007650951199338296,0.015120555782590927,2018,17521,0.5,0.1,0.4
0.532642075121127,0.6939101649449232,0.34968625213918997,0.12675765095119934,0.1860676885718622,0.725186918554877,0.5963302752293578,0.013440860215053764,0.0262891809908999,0.7245020261400605,0.8,0.0024813895781637717,0.004947433518862091,2018,17521,0.5,0.2,0.3
0.5353337356503403,0.7121739626733634,0.3980295566502463,0.08354011579818031,0.13809605195693045,0.7246161748758633,0.6341463414634146,0.005376344086021506,0.010662292392864465,0.724273728668455,0.7777777777777778,0.0014474772539288668,0.002889576883384933,2018,17521,0.5,0.3,0.2
0.536388481083765,0.7146281604931225,0.4082774049217002,0.07547559966914806,0.1273996509598604,0.7240454311968495,0.52,0.002688172043010753,0.005348693684427073,0.7242166543005536,0.8333333333333334,0.0010339123242349049,0.0020652622883106154,2018,17521,0.5,0.4,0.1
0.5334264139698549,0.7024142457622282,0.3419732441471572,0.08457402812241521,0.13561007957559681,0.723817133725244,0.45714285714285713,0.0033085194375516956,0.006569492917265448,0.7241595799326522,0.8,0.0008271298593879239,0.0016525511258004544,2018,17521,0.5,0.5,0.0
