fold,Rand,XGB,LSTM,CNN,ENS
2018,-2.2947,-1.7975,-1.852,-1.7371,-1.2965
2019,-2.2366,-1.9263,-2.1081,-2.804,-2.253
2020,3.0971,4.3536,3.8966,4.184,4.2677
2021,-1.6913,-0.9786,-2.306,-1.5852,-1.2781
2022,-2.7207,-1.8837,-2.4287,-1.1937,-1.6629
2023,-2.0633,-2.0427,-2.2329,-1.384,-1.9836
2024,-3.6954,-3.7259,-4.343,-4.0639,-4.118
2025,-0.493,-0.7422,0.1436,-0.0837,-0.1206
MEAN,-1.5122,-1.0929,-1.4038,-1.0835,-1.0556
