test_year,n,p_xgb,p_lstm,p_avg,p_avg_rank
2018,17521,0.569468,0.517789,0.533426,0.5539
2019,17246,0.570447,0.544966,0.575211,0.571922
2020,25133,0.597961,0.544732,0.561298,0.587756
2021,30847,0.550791,0.536347,0.543629,0.550747
2022,26373,0.653489,0.56641,0.596616,0.63291
2023,31959,0.562102,0.53958,0.555773,0.559647
2024,27783,0.541943,0.504703,0.521624,0.526428
2025,28660,0.573396,0.550144,0.567576,0.571523
