w_xgb,w_lstm,w_cnn,k,a,n_total,trades_yr,active_folds,min_fold_n,winrate,avg_ret,avg_ret_win,mean_fold_ret,worst_fold_ret,pos_folds,ret_ex2020,pct_2020
0.29,0.19,0.52,30.0,0.65,3414.0,426.75,8.0,31.0,46.6901,4.42407,19.68576,1.93535,-5.89224,3.0,-0.30531,25.4833
0.48,0.07,0.45,30.0,0.6,4909.0,613.625,8.0,30.0,47.28051,3.52867,17.32603,1.43871,-6.74365,4.0,-0.01455,22.26523
