w_xgb,w_lstm,w_cnn,k,a,n_total,trades_yr,active_folds,min_fold_n,winrate,avg_ret,avg_ret_win,mean_fold_ret,worst_fold_ret,pos_folds,ret_ex2020,pct_2020
0.44,0.2,0.36,30.0,0.95,1241.0,155.125,8.0,72.0,57.05077,7.38058,19.71324,5.96534,-2.64786,7.0,1.99205,19.9033
0.84,0.06,0.1,30.0,0.95,3099.0,387.375,8.0,246.0,56.01807,5.59457,16.79549,5.70435,-3.06964,7.0,2.44513,13.48822
