band,by,k,a,w_xgb,w_lstm,w_cnn,trades_yr,min_fold_n,winrate,avg_ret,ret_ex2020,worst_fold_ret,pos_folds,pct_2020
250-500,avg_ret,30.0,0.65,0.44,0.06,0.5,401.5,32.0,47.57161,4.20029,0.69536,-1.89861,6.0,16.31382
250-500,ret_ex2020,30.0,0.6,0.5,0.08,0.42,497.375,30.0,48.07741,3.94108,0.81911,-1.9574,6.0,14.87811
500-1500,avg_ret,30.0,0.6,0.47,0.11,0.42,501.625,33.0,47.94418,3.8479,0.73956,-1.99083,6.0,14.65238
500-1500,ret_ex2020,30.0,0.55,0.6,0.06,0.34,638.875,30.0,48.22931,3.59187,1.06831,-1.85844,7.0,13.36333
1500-∞,avg_ret,30.0,0.5,0.04,0.67,0.29,1502.75,498.0,38.93695,0.82192,-0.4703,-2.88609,4.0,8.80885
1500-∞,ret_ex2020,30.0,0.5,0.03,0.68,0.29,1512.375,506.0,38.92057,0.81888,-0.46953,-2.87498,4.0,8.81891
