fold,Rand,XGB,LSTM,CNN,ENS
2018,-2.2947,-1.6601,-1.4079,-3.0239,-1.9659
2019,-2.2366,-2.2901,-2.5184,-0.9766,-1.6718
2020,3.0971,4.9452,3.9772,3.0538,4.8098
2021,-1.6913,-1.2168,-1.3257,-1.114,-1.0575
2022,-2.7207,-1.8632,-1.6579,-2.0325,-1.641
2023,-2.0633,-1.7869,-1.6489,-2.1506,-1.8356
2024,-3.6954,-3.5567,-4.102,-3.7907,-3.4949
2025,-0.493,-0.3439,-0.4411,-0.6975,-0.0407
MEAN,-1.5122,-0.9716,-1.1406,-1.3415,-0.8622
