fold,XGB,LSTM,CNN,ENS
2018,4.0,5.1,2.4,6.6
2019,2.8,2.8,-0.4,2.1
2020,8.3,7.7,4.1,8.1
2021,3.2,2.4,1.8,3.7
2022,4.5,3.1,6.8,6.1
2023,1.3,0.4,3.9,1.6
2024,0.9,-0.5,1.2,0.9
2025,1.8,5.1,3.1,6.5
MEAN,3.4,3.3,2.9,4.4
