,baseline,youtube
2018,0.531138,0.546273
2019,0.573404,0.560875
2020,0.604563,0.5956
2021,0.553297,0.542239
2022,0.639254,0.653382
2023,0.557644,0.570241
2024,0.529195,0.537143
2025,0.577692,0.581086
pooled,0.551373,0.559319
mean_per_fold,0.570773,0.573355
